device,ai_model,runtime,inference_time,minimum_memory_usage,maximum_memory_usage,compute_units,test_date,notes
Samsung Galaxy S24 (Family),unet_segmentation,tflite,119.882,6,133,32,,
Samsung Galaxy S24 (Family),sinet,tflite,1.152,1,22,222,,
Samsung Galaxy S24 (Family),segformer_base,tflite,80.692,8,55,543,,
Samsung Galaxy S24 (Family),pidnet,tflite,30.264,1,60,169,,
Samsung Galaxy S24 (Family),mediapipe_selfie,tflite,0.458,1,22,118,,
Samsung Galaxy S24 (Family),hrnet_w48_ocr,tflite,57325.967,7,534,578,,
Samsung Galaxy S24 (Family),ffnet_122ns_lowres,tflite,8.469,1,116,218,,
Samsung Galaxy S24 (Family),ffnet_78s,tflite,34.326,2,125,151,,
Samsung Galaxy S24 (Family),ffnet_78s_quantized,tflite,7.661,1,77,153,,
Samsung Galaxy S24 (Family),ffnet_78s_lowres,tflite,9.065,1,116,151,,
Samsung Galaxy S24 (Family),ffnet_54s,tflite,31.347,1,94,115,,
Samsung Galaxy S24 (Family),ffnet_54s_quantized,tflite,6.885,1,59,117,,
Samsung Galaxy S24 (Family),ffnet_40s,tflite,29.408,3,81,94,,
Samsung Galaxy S24 (Family),ffnet_40s_quantized,tflite,6.452,1,49,96,,
Samsung Galaxy S24 (Family),fcn_resnet50,tflite,35.154,1,142,88,,
Samsung Galaxy S24 (Family),fcn_resnet50_quantized,tflite,11.176,1,80,90,,
Samsung Galaxy S24 (Family),fastsam_x,tflite,34.746,3,190,419,,
Samsung Galaxy S24 (Family),fastsam_s,tflite,5.404,3,61,287,,
Samsung Galaxy S24 (Family),deeplabv3_plus_mobilenet,tflite,9.107,1,43,101,,
Samsung Galaxy S24 (Family),deeplabv3_plus_mobilenet_quantized,tflite,3.143,1,47,136,,
Samsung Galaxy S24 (Family),ddrnet23_slim,tflite,3.4,1,47,131,,
Samsung Galaxy S23 (Family),unet_segmentation,tflite,162.826,7,463,32,,
Samsung Galaxy S23 (Family),sinet,tflite,1.717,1,7,222,,
Samsung Galaxy S23 (Family),segformer_base,tflite,106.9,10,17,543,,
Samsung Galaxy S23 (Family),pidnet,tflite,43.74,3,19,169,,
Samsung Galaxy S23 (Family),mediapipe_selfie,tflite,0.687,1,8,118,,
Samsung Galaxy S23 (Family),hrnet_w48_ocr,tflite,79760.977,12,97,578,,
Samsung Galaxy S23 (Family),ffnet_122ns_lowres,tflite,12.329,1,20,218,,
Samsung Galaxy S23 (Family),ffnet_78s,tflite,49.539,3,20,151,,
Samsung Galaxy S23 (Family),ffnet_78s_quantized,tflite,10.631,1,25,153,,
Samsung Galaxy S23 (Family),ffnet_78s_lowres,tflite,13.191,1,16,151,,
Samsung Galaxy S23 (Family),ffnet_54s,tflite,45.984,3,23,115,,
Samsung Galaxy S23 (Family),ffnet_54s_quantized,tflite,9.396,1,14,117,,
Samsung Galaxy S23 (Family),ffnet_40s,tflite,43.499,3,42,94,,
Samsung Galaxy S23 (Family),ffnet_40s_quantized,tflite,8.935,1,15,96,,
Samsung Galaxy S23 (Family),fcn_resnet50,tflite,47.876,1,26,88,,
Samsung Galaxy S23 (Family),fcn_resnet50_quantized,tflite,14.882,1,84,90,,
Samsung Galaxy S23 (Family),fastsam_x,tflite,47.906,5,59,419,,
Samsung Galaxy S23 (Family),fastsam_s,tflite,7.12,5,27,287,,
Samsung Galaxy S23 (Family),deeplabv3_plus_mobilenet,tflite,12.96,1,11,101,,
Samsung Galaxy S23 (Family),deeplabv3_plus_mobilenet_quantized,tflite,4.382,1,14,136,,
Samsung Galaxy S23 (Family),ddrnet23_slim,tflite,4.876,1,21,131,,
Xiaomi 12,unet_segmentation,tflite,274.513,7,461,32,,
Xiaomi 12,sinet,tflite,1.916,1,7,222,,
Xiaomi 12,segformer_base,tflite,109.459,10,21,543,,
Xiaomi 12,pidnet,tflite,56.317,3,25,169,,
Xiaomi 12,mediapipe_selfie,tflite,1,1,6,118,,
Xiaomi 12,hrnet_w48_ocr,tflite,80117.809,13,85,578,,
Xiaomi 12,ffnet_122ns_lowres,tflite,15.096,1,11,218,,
Xiaomi 12,ffnet_78s,tflite,67.412,3,17,151,,
Xiaomi 12,ffnet_78s_quantized,tflite,12.12,1,15,153,,
Xiaomi 12,ffnet_78s_lowres,tflite,18.48,1,69,151,,
Xiaomi 12,ffnet_54s,tflite,60.625,5,23,115,,
Xiaomi 12,ffnet_54s_quantized,tflite,12.831,1,17,117,,
Xiaomi 12,ffnet_40s,tflite,56.033,3,21,94,,
Xiaomi 12,ffnet_40s_quantized,tflite,10.719,1,17,96,,
Xiaomi 12,fcn_resnet50,tflite,73.675,1,16,88,,
Xiaomi 12,fcn_resnet50_quantized,tflite,17.596,1,14,90,,
Xiaomi 12,fastsam_x,tflite,80.965,5,53,419,,
Xiaomi 12,fastsam_s,tflite,18.645,5,25,287,,
Xiaomi 12,deeplabv3_plus_mobilenet,tflite,19.985,1,12,101,,
Xiaomi 12,deeplabv3_plus_mobilenet_quantized,tflite,5.228,1,12,136,,
Xiaomi 12,ddrnet23_slim,tflite,7.823,1,13,131,,
Xiaomi 12 Pro,unet_segmentation,tflite,276.82,7,461,32,,
Xiaomi 12 Pro,sinet,tflite,1.926,1,9,222,,
Xiaomi 12 Pro,segformer_base,tflite,109.266,10,18,543,,
Xiaomi 12 Pro,pidnet,tflite,55.177,3,25,169,,
Xiaomi 12 Pro,mediapipe_selfie,tflite,0.999,1,7,118,,
Xiaomi 12 Pro,hrnet_w48_ocr,tflite,77920.852,1,90,578,,
Xiaomi 12 Pro,ffnet_122ns_lowres,tflite,15.193,1,14,218,,
Xiaomi 12 Pro,ffnet_78s,tflite,81.896,5,23,151,,
Xiaomi 12 Pro,ffnet_78s_quantized,tflite,13.391,1,16,153,,
Xiaomi 12 Pro,ffnet_78s_lowres,tflite,17.851,1,22,151,,
Xiaomi 12 Pro,ffnet_54s,tflite,60.384,3,20,115,,
Xiaomi 12 Pro,ffnet_54s_quantized,tflite,14.227,1,12,117,,
Xiaomi 12 Pro,ffnet_40s,tflite,55.98,3,21,94,,
Xiaomi 12 Pro,ffnet_40s_quantized,tflite,10.228,1,15,96,,
Xiaomi 12 Pro,fcn_resnet50,tflite,74.059,1,15,88,,
Xiaomi 12 Pro,fcn_resnet50_quantized,tflite,17.578,1,13,90,,
Xiaomi 12 Pro,fastsam_x,tflite,81.636,5,22,419,,
Xiaomi 12 Pro,fastsam_s,tflite,16.709,5,25,287,,
Xiaomi 12 Pro,deeplabv3_plus_mobilenet,tflite,21.641,1,15,101,,
